Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID
ইলিয়াট গঞ্জ চ্যানেল হসপিটাল,23.5129943,90.868904,2.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Eliotganj,ChIJCWCvzJ5dVDcR75YOLK1Jows
সুভাষী ডেন্টাল কেয়ার,23.513468,90.8687286,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","bazar, Eliotganj",ChIJESa6OKVdVDcRLuMSROUbHfQ
Shuvashi Dental Care,23.5135018,90.8687044,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Eliotgonj-Muradnagar Road,ChIJm4xYBNhdVDcRTQ9MbbO1Rk4
ইলিয়ট গঞ্জ জেনারেল হসপিটাল,23.5124544,90.8689144,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Eliotgonj-Muradnagar Road,ChIJ45RCxVFdVDcROmIVFk2CfQI
Eliotgonj Union FWC,23.514246,90.8678971,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",N1,ChIJMxky0axdVDcRPl85hByqd8w
গ্রাম খিলাইল পার,23.5347911,90.8707041,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Eliotgonj-Muradnagar Road,ChIJM9fItOJdVDcRzO72KxllX9k
Habib Homeo Hall,23.5343017,90.8309349,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",N1,ChIJV385z4JcVDcRzBhjc7Ss3PQ
Maligaon Bhuiyanbari Hospital Complex,23.4898324,90.8307338,5,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Maligoan Bhuiyanbari, Uttar Nagar Road.",ChIJWdKszAlcVDcRKiV_jMBWtzk
Maligaon 50 Bedded Hospital,23.4896857,90.8304771,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Daudkandi Upazila,ChIJy1ClNwhcVDcR0jiilihZb0U
"Grandra Hospital, Grandra-3519",23.5554114,90.8787886,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Muradnagar Upazila,ChIJgZ1HHTtdVDcRf5IBj7p1PkE
